stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,sa2_code21,sa2_name21,sa4_name21,geometry
200039,"Central Station, Eddy Av, Stand A",-33.8822064874687,151.20666465471,0,117031645,Sydney (South) - Haymarket,Sydney - City and Inner South,POINT (151.20667008309513 -33.88219380417616)
200054,"Central Station, Eddy Av, Stand D",-33.8820421431408,151.20699145565,0,117031645,Sydney (South) - Haymarket,Sydney - City and Inner South,POINT (151.20699688401047 -33.882029459877636)
200060,Central Station,-33.8840842535493,151.206292455081,0,117031645,Sydney (South) - Haymarket,Sydney - City and Inner South,POINT (151.20629788326733 -33.88407157023517)
201510,Redfern Station,-33.8916900512711,151.198866071817,0,117031642,Redfern,Sydney - City and Inner South,POINT (151.19887150004521 -33.89167736731692)
201646,"Redfern Station, Gibbons St, Stand B",-33.8933293130144,151.198881722942,0,117031642,Redfern,Sydney - City and Inner South,POINT (151.19888715094794 -33.893316629073176)
204230,"St Peters Station, King St",-33.9063142029908,151.181117167927,0,117031640,Newtown (NSW),Sydney - City and Inner South,POINT (151.18112259673427 -33.906301517482895)
204311,King St Opp St Peters Station,-33.9064227004899,151.181371008764,0,117031330,Erskineville - Alexandria,Sydney - City and Inner South,POINT (151.18137643752033 -33.90641001500642)
204313,Erskineville Rd At Charles St,-33.8997132561368,151.184727384289,0,117031330,Erskineville - Alexandria,Sydney - City and Inner South,POINT (151.18473281346488 -33.899700570919414)
204320,Erskineville Rd At Prospect St,-33.8996853464514,151.183958865838,0,117031330,Erskineville - Alexandria,Sydney - City and Inner South,POINT (151.18396429512768 -33.89967266116212)
204410,St Peters Station,-33.9072729813888,151.180742630338,0,117021328,Sydenham - Tempe - St Peters,Sydney - City and Inner South,POINT (151.18074805907028 -33.907260295852666)
204420,Sydenham Station,-33.914744895685,151.166064870029,0,117021328,Sydenham - Tempe - St Peters,Sydney - City and Inner South,POINT (151.16607029986204 -33.91473220883251)
204424,Princes Hwy After Gannon St,-33.9248434613655,151.160526263987,0,117021328,Sydenham - Tempe - St Peters,Sydney - City and Inner South,POINT (151.16053169325968 -33.92483077406751)
204442,Princes Hwy At Fanning St,-33.924336037387,151.161409442477,0,117021328,Sydenham - Tempe - St Peters,Sydney - City and Inner South,POINT (151.16141487169108 -33.924323350167754)
2076119,Malsbury Rd Opp Normanhurst Station,-33.7203735971993,151.097147590855,0,121021406,Normanhurst - Thornleigh - Westleigh,Sydney - North Sydney and Hornsby,POINT (151.09715305649888 -33.720360902567485)
207620,Normanhurst Station,-33.7208266271426,151.097072104535,0,121021406,Normanhurst - Thornleigh - Westleigh,Sydney - North Sydney and Hornsby,POINT (151.09707757012933 -33.720813932506964)
207652,"Normanhurst Station, Malsbury Rd",-33.7208704284853,151.096567397243,0,121021406,Normanhurst - Thornleigh - Westleigh,Sydney - North Sydney and Hornsby,POINT (151.09657286290334 -33.720857733803065)
207720,Hornsby Station,-33.7034747936335,151.098359728641,0,121021577,Hornsby - East,Sydney - North Sydney and Hornsby,POINT (151.09836519636136 -33.703462098995495)
2077277,"Hornsby Station, George St",-33.703567008899,151.098838462491,0,121021577,Hornsby - East,Sydney - North Sydney and Hornsby,POINT (151.098843930131 -33.70355431430613)
207760,"Hornsby Station, Stand D",-33.7033664270727,151.098095839332,0,121021578,Hornsby - West,Sydney - North Sydney and Hornsby,POINT (151.09810130710426 -33.7033537324094)
212010,Thornleigh Station,-33.7318969534448,151.078155078868,0,121021406,Normanhurst - Thornleigh - Westleigh,Sydney - North Sydney and Hornsby,POINT (151.07816054568175 -33.73188425712951)
212051,The Esplanade Opp Thornleigh Station,-33.7314553253403,151.077886114363,0,121021406,Normanhurst - Thornleigh - Westleigh,Sydney - North Sydney and Hornsby,POINT (151.0778915812738 -33.731442628996916)
212052,"Thornleigh Station, The Esplanade",-33.7316234076858,151.07798035267,0,121021406,Normanhurst - Thornleigh - Westleigh,Sydney - North Sydney and Hornsby,POINT (151.07798581954503 -33.73161071135236)
213510,Strathfield Station,-33.8716720139339,151.094285645918,0,120031680,Strathfield - East,Sydney - Inner West,POINT (151.09429109179706 -33.871659320098445)
213511,"Strathfield Station, Everton Rd, Stand D",-33.8712286968075,151.094340056165,0,120031680,Strathfield - East,Sydney - Inner West,POINT (151.0943455020955 -33.87121600297399)
213563,"Strathfield Station, Albert Rd, Stand F",-33.8717575947145,151.09360922012,0,120031680,Strathfield - East,Sydney - Inner West,POINT (151.09361466608448 -33.87174490081678)
2137112,"Concord Fire Station, Concord Rd",-33.8581249188743,151.092255519693,0,120011672,Concord West - North Strathfield,Sydney - Inner West,POINT (151.09226096767168 -33.85811222475519)
213718,Concord Rd Opp Concord Fire Station,-33.8586758300849,151.092217040691,0,120011672,Concord West - North Strathfield,Sydney - Inner West,POINT (151.09222248860164 -33.858663135966076)
213820,Rhodes Station,-33.8304918906223,151.087049334924,0,120011673,Rhodes,Sydney - Inner West,POINT (151.0870547873349 -33.830479195825625)
213828,Concord Rd At Nirranda St,-33.8487550588502,151.08978852917,0,120011672,Concord West - North Strathfield,Sydney - Inner West,POINT (151.0897939787524 -33.848742364436156)
213835,Concord Rd Before Victoria Av,-33.8480630361322,151.08946392675,0,120011672,Concord West - North Strathfield,Sydney - Inner West,POINT (151.08946937647116 -33.848050341683134)
213858,"Rhodes Station, Blaxland Rd",-33.830689854863,151.087328689523,0,120011673,Rhodes,Sydney - Inner West,POINT (151.08733414186756 -33.83067716009368)
213879,Blaxland Rd Opp Rhodes Station,-33.8306121589844,151.087497732926,0,120011673,Rhodes,Sydney - Inner West,POINT (151.0875031852568 -33.83059946423023)
219310,Hurlstone Park Station,-33.9102017864647,151.132483806583,0,120031392,Canterbury (North) - Ashbury,Sydney - Inner West,POINT (151.13248924183776 -33.91018909645215)
2193108,"Canterbury Station, Canterbury Rd, Stand G",-33.9123217538866,151.118980446772,0,120031392,Canterbury (North) - Ashbury,Sydney - Inner West,POINT (151.11898588367853 -33.91230906263226)
219311,"Hurlstone Park Station, Floss St",-33.9101467254931,151.132513564325,0,120031392,Canterbury (North) - Ashbury,Sydney - Inner West,POINT (151.13251899958286 -33.91013403548294)
219312,Floss St Opp Hurlstone Park Station,-33.9101754553742,151.132731084645,0,120031392,Canterbury (North) - Ashbury,Sydney - Inner West,POINT (151.13273651986788 -33.91016276538449)
219320,Canterbury Station,-33.9120868218575,151.118731373859,0,120031392,Canterbury (North) - Ashbury,Sydney - Inner West,POINT (151.11873681083264 -33.91207413057835)
